,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Congreso | Octubre 1989 | Resultados por circunscripción,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,PARTIDO SOCIALISTA OBRERO ESPAÑOL,,PARTIDO POPULAR,,IZQUIERDA UNIDA,,CENTRO DEMOCRATICO Y SOCIAL,,CONVERGENCIA I UNIO,,EUZKO ALDERDI JELTZALEA-PARTIDO NACIONALISTA VASCO,,AGRUPACION RUIZ-MATEOS,,HERRI BATASUNA,,PARTIDO ANDALUCISTA,,LOS VERDES-LISTA VERDE,,UNIO VALENCIANA,,EUSKO ALKARTASUNA,,LOS VERDES ECOLOGISTAS,,EUSKADIKO EZKERRA,,PARTIDO TRABAJADORES DE ESPAÑA-UNIDAD COMUNISTA,,ESQUERRA REPUBLICANA DE CATALUNYA,,PARTIDO SOCIALISTA DE LOS TRABAJADORES,,PARTIDO ARAGONES REGIONALISTA,,AGRUPACIONES INDEPENDIENTES DE CANARIAS,,PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,,BLOQUE NACIONALISTA GALEGO,,COALICION GALEGA,,UNITAT DEL POBLE VALENCIA,,PARTIDO SOCIALISTA GALEGO-ESQUERDA GALEGA,,ALTERNATIVA VERDA-MOVIMENT ECOLOG. DE CATALUNYA,,FALANGE ESPAÑOLA DE LAS J.O.N.S.,,ASAMBLEA CANARIA NACIONALISTA,,VERTICE ESPAÑOL REIVINDICAC. DESARROLLO ECOLOGICO,,COALICION SOCIALDEMOCRATA,,PARTIDO HUMANISTA,,PARTIDO NACIONALISTA GALEGO-PARTIDO GALEGUISTA,,ALIANZA POR LA REPUBLICA,,EXTREMADURA UNIDA,,COALICION ELECTORAL ESQUERRA NACIONALISTA,,PARTIDO DE LOS OBREROS REVOLUCIONARIOS DE ESPAÑA,,INDEPENDIENTES DE GRAN CANARIA,,PARTIU ASTURIANISTA,,UNIDAD CENTRISTA-P.E.D.,,FRENTE POPULAR GALEGA,,PARTIDO REGIONAL DE MADRID,,GRUPO DE RADICALES EN MADRID,,UNIDA NACIONALISTA ASTURIANA,,UNION ARAGONESISTA-CHUNTA ARAGONESISTA,,ESQUERRA NACIONALISTA VALENCIANA - URV,,PARTIDO REGIONALISTA DEL PAIS LEONES,,UNIO BALEAR,,PARTIDO CEUTA UNIDA,,SIETE ESTRELLAS VERDES,,MOVIMIENTO VERDE,,AGRUPACION CIUDADANA INDEPENDIENTE,,PARTIDO NACIONALISTA DE CASTILLA Y LEON,,COALICION ALICANTINISTA ALICANTON,,ACCION REPUBLICANA DEMOCRATICA ESPAÑOLA,,PARTIDO ECOLOGISTA DE EUSKADI (LISTA VERDE),,RADICALES POR CANTABRIA,,FALANGE ESPAÑOLA INDEPENDIENTE,,TAGOROR O ASAMBLEA CONEJERA DE LANZAROTE,,PARTIDO REGIONALISTA DE GUADALAJARA,,PARTIDO RADICAL BALEAR,,PARTIDO NACIONALISTA ESPAÑOL DE MELILLA,,PARTIDO PROVERISTA,,PARTIDO COMUNISTA DE ESPAÑA (MARXISTA-LENINISTA),,COALICION ELECTORAL LKI-EMK,
Aragón                        ,22,Huesca                                            ,210.094,357,168.244,984,169.228,118.207,473,118.680,117.395,116.344,1.051,1.285,47.491,2,29.938,1,9.074,0,10.015,0,0,0,0,0,1.058,0,0,0,0,0,0,0,0,0,0,0,1.405,0,0,0,368,0,0,0,870,0,14.260,0,0,0,237,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,412,0,118,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aragón                        ,44,Teruel                                            ,149.414,314,119.158,568,119.726,84.704,223,84.927,84.196,83.611,585,731,33.744,2,27.695,1,3.580,0,7.319,0,0,0,0,0,497,0,0,0,0,0,291,0,0,0,0,0,365,0,0,0,354,0,0,0,410,0,8.894,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aragón                        ,50,Zaragoza                                          ,824.686,1.147,655.156,2.211,657.367,459.817,942,460.759,457.862,453.910,3.952,2.897,174.107,3,125.728,2,51.546,1,32.826,0,0,0,0,0,5.317,0,0,0,0,0,2.683,0,0,0,0,0,2.965,0,0,0,2.112,0,0,0,2.773,0,48.579,1,0,0,573,0,0,0,0,0,0,0,0,0,0,0,510,0,0,0,0,0,1.437,0,361,0,0,0,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Principado de Asturias        ,33,Asturias                                          ,1.112.186,1.408,887.426,9.059,896.485,613.510,4.187,617.697,612.844,609.116,3.728,4.853,248.584,4,162.590,3,95.494,1,76.643,1,0,0,0,0,3.424,0,0,0,0,0,4.352,0,0,0,0,0,3.340,0,0,0,1.854,0,0,0,2.861,0,0,0,0,0,1.604,0,0,0,0,0,0,0,0,0,0,0,751,0,0,0,0,0,0,0,406,0,0,0,469,0,0,0,0,0,0,0,0,0,3.526,0,0,0,0,0,0,0,0,0,3.218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Illes Balears                 ,7,Illes Balears                                     ,680.933,846,547.795,1.144,548.939,348.341,438,348.779,344.681,341.705,2.976,4.098,118.833,3,140.163,3,17.555,0,31.671,0,0,0,0,0,8.709,0,0,0,0,0,8.762,0,0,0,0,0,0,0,0,0,772,0,0,0,1.621,0,0,0,0,0,1.050,0,0,0,0,0,0,0,0,0,0,0,541,0,0,0,0,0,0,0,0,0,0,0,327,0,0,0,7.989,0,431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,398,0,0,0,0,0,0,0,0,0
Canarias                      ,35,Las Palmas                                        ,751.269,899,561.845,960,562.805,357.399,218,357.617,354.733,352.951,1.782,2.884,113.675,3,73.443,2,35.818,0,86.121,2,0,0,0,0,6.211,0,0,0,0,0,2.999,0,0,0,0,0,2.576,0,0,0,810,0,0,0,1.523,0,0,0,6.333,0,979,0,0,0,0,0,0,0,0,0,0,0,391,0,13.244,0,0,0,0,0,574,0,0,0,0,0,0,0,0,0,0,0,6.371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,472,0,0,0,0,0,0,0,0,0,0,0,0,0
Canarias                      ,38,Santa Cruz de Tenerife                            ,715.122,705,523.627,2.501,526.128,318.926,203,319.129,315.806,314.240,1.566,3.323,128.360,4,56.600,1,17.546,0,31.776,1,0,0,0,0,3.906,0,0,0,0,0,3.139,0,0,0,0,0,2.117,0,0,0,844,0,0,0,1.990,0,0,0,58.434,1,521,0,0,0,0,0,0,0,0,0,0,0,376,0,8.295,0,0,0,0,0,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cantabria                     ,39,Cantabria                                         ,522.664,498,402.855,2.526,405.381,300.155,963,301.118,297.873,295.049,2.824,3.245,119.352,3,114.403,2,19.058,0,28.976,0,0,0,0,0,2.208,0,0,0,0,0,1.860,0,0,0,0,0,2.481,0,0,0,1.291,0,0,0,1.727,0,0,0,0,0,1.132,0,0,0,0,0,0,0,0,0,0,0,868,0,0,0,0,0,0,0,347,0,0,0,256,0,0,0,0,0,0,0,0,0,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Castilla - La Mancha          ,2,Albacete                                          ,346.217,460,257.931,924,258.855,198.058,351,198.409,197.173,195.851,1.322,1.236,97.904,3,60.664,1,16.580,0,14.651,0,0,0,0,0,1.242,0,0,0,0,0,1.336,0,0,0,0,0,891,0,0,0,830,0,0,0,729,0,0,0,0,0,557,0,0,0,0,0,0,0,0,0,0,0,270,0,0,0,0,0,0,0,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Castilla - La Mancha          ,13,Ciudad Real                                       ,483.634,593,367.402,642,368.044,276.127,262,276.389,273.884,272.404,1.480,2.505,143.416,3,82.074,2,17.285,0,21.717,0,0,0,0,0,2.193,0,0,0,0,0,2.063,0,0,0,0,0,1.351,0,0,0,501,0,0,0,948,0,0,0,0,0,388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,0,0,0,195,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
