Nombre de Comunidad,Código de Provincia,Nombre de Provincia,Población,Número de mesas,Censo electoral sin CERA,Censo CERA,Total censo electoral,Total Votantes CER,Total votantes CERA,Total votantes,Votos válidos,Votos a candidaturas,Votos en blanco,Votos nulos,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados,Votos,Diputados
Aragón                        ,50,Zaragoza                                          ,824686,1147,655156,2211,657367,459817,942,460759,457862,453910,3952,2897,174107,3,125728,2,51546,1,32826,0,0,0,0,0,5317,0,0,0,0,0,2683,0,0,0,0,0,2965,0,0,0,2112,0,0,0,2773,0,48579,1,0,0,573,0,0,0,0,0,0,0,0,0,0,0,510,0,0,0,0,0,1437,0,361,0,0,0,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Principado de Asturias        ,33,Asturias                                          ,1112186,1408,887426,9059,896485,613510,4187,617697,612844,609116,3728,4853,248584,4,162590,3,95494,1,76643,1,0,0,0,0,3424,0,0,0,0,0,4352,0,0,0,0,0,3340,0,0,0,1854,0,0,0,2861,0,0,0,0,0,1604,0,0,0,0,0,0,0,0,0,0,0,751,0,0,0,0,0,0,0,406,0,0,0,469,0,0,0,0,0,0,0,0,0,3526,0,0,0,0,0,0,0,0,0,3218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Illes Balears                 ,7,Illes Balears                                     ,680933,846,547795,1144,548939,348341,438,348779,344681,341705,2976,4098,118833,3,140163,3,17555,0,31671,0,0,0,0,0,8709,0,0,0,0,0,8762,0,0,0,0,0,0,0,0,0,772,0,0,0,1621,0,0,0,0,0,1050,0,0,0,0,0,0,0,0,0,0,0,541,0,0,0,0,0,0,0,0,0,0,0,327,0,0,0,7989,0,431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,398,0,0,0,0,0,0,0,0,0
Canarias                      ,35,Las Palmas                                        ,751269,899,561845,960,562805,357399,218,357617,354733,352951,1782,2884,113675,3,73443,2,35818,0,86121,2,0,0,0,0,6211,0,0,0,0,0,2999,0,0,0,0,0,2576,0,0,0,810,0,0,0,1523,0,0,0,6333,0,979,0,0,0,0,0,0,0,0,0,0,0,391,0,13244,0,0,0,0,0,574,0,0,0,0,0,0,0,0,0,0,0,6371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,472,0,0,0,0,0,0,0,0,0,0,0,0,0
Canarias                      ,38,Santa Cruz de Tenerife                            ,715122,705,523627,2501,526128,318926,203,319129,315806,314240,1566,3323,128360,4,56600,1,17546,0,31776,1,0,0,0,0,3906,0,0,0,0,0,3139,0,0,0,0,0,2117,0,0,0,844,0,0,0,1990,0,0,0,58434,1,521,0,0,0,0,0,0,0,0,0,0,0,376,0,8295,0,0,0,0,0,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cantabria                     ,39,Cantabria                                         ,522664,498,402855,2526,405381,300155,963,301118,297873,295049,2824,3245,119352,3,114403,2,19058,0,28976,0,0,0,0,0,2208,0,0,0,0,0,1860,0,0,0,0,0,2481,0,0,0,1291,0,0,0,1727,0,0,0,0,0,1132,0,0,0,0,0,0,0,0,0,0,0,868,0,0,0,0,0,0,0,347,0,0,0,256,0,0,0,0,0,0,0,0,0,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Castilla - La Mancha          ,2,Albacete                                          ,346217,460,257931,924,258855,198058,351,198409,197173,195851,1322,1236,97904,3,60664,1,16580,0,14651,0,0,0,0,0,1242,0,0,0,0,0,1336,0,0,0,0,0,891,0,0,0,830,0,0,0,729,0,0,0,0,0,557,0,0,0,0,0,0,0,0,0,0,0,270,0,0,0,0,0,0,0,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Castilla - La Mancha          ,13,Ciudad Real                                       ,483634,593,367402,642,368044,276127,262,276389,273884,272404,1480,2505,143416,3,82074,2,17285,0,21717,0,0,0,0,0,2193,0,0,0,0,0,2063,0,0,0,0,0,1351,0,0,0,501,0,0,0,948,0,0,0,0,0,388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,0,0,0,195,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Castilla - La Mancha          ,16,Cuenca                                            ,213370,335,168480,355,168835,128128,163,128291,127446,126661,785,845,58465,2,49748,1,5529,0,9149,0,0,0,0,0,750,0,0,0,0,0,615,0,0,0,0,0,562,0,0,0,649,0,0,0,520,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,256,0,0,0,0,0,0,0,63,0,0,0,159,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Castilla - La Mancha          ,19,Guadalajara                                       ,146316,382,115296,361,115657,87301,139,87440,86690,85894,796,750,31653,1,37061,2,7280,0,6622,0,0,0,0,0,601,0,0,0,0,0,620,0,0,0,0,0,467,0,0,0,201,0,0,0,492,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,182,0,0,0,0,0,0,0,79,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,426,0,0,0,0,0,0,0,0,0,0,0
